Date,Client,Contact,Department,Payment,Revenue,Profit,Profit Margin
30-05-2023,"AMAZON.COM, INC. (XNAS:AMZN)",     Bill SmITH,Cloud Tech_Texas,Transfer,"$4,500 ",$598 ,13.3%
30-05-2023,"TESLA, INC. (XNAS:TSLA)",KEN Singh,Strategy_New York,PayPal,"$3,800 ","$1,045 ",27.5%
30-05-2023,"NETFLIX, INC. (XNAS:NFLX)",  Harley        Fritz,Strategy_New York,,"$3,713 ","$1,009 ",27.2%
30-05-2023,THE PROCTER & GAMBLE COMPANY (XNYS:PG),Nyla Novak,Operations_Florida,,,$779 ,#DIV/0!
30-05-2023,"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)",David    Rasmussen,Operations_Florida,Check,"$5,000 ",$684 ,13.7%
31-05-2023,JPMORGAN CHASE & CO. (XNYS:JPM),IVAN HINEY,Cloud Tech_Texas,Transfer,"$6,100 ",$544 ,8.9%
31-05-2023,MORGAN STANLEY (XNYS:MS),JONha Ma,Cloud Tech_Texas,Transfer,"$4,625 ",$670 ,14.5%
31-05-2023,CITIGROUP INC. (XNYS:C),     Jordan Boone,Cloud Tech_Texas,Transfer,"$3,800 ","$2,045 ",53.8%
31-05-2023,BANK OF AMERICA CORPORATION (XNYS:BAC),Kylee Townsend,Cloud Tech_Texas,Card,"$3,600 ","$1,564 ",43.4%
31-05-2023,WALMART INC. (XNYS:WMT),Nora Rollins,Cloud Tech_Texas,Check,"$5,100 ","$1,220 ",23.9%
31-05-2023,TARGET CORPORATION (XNYS:TGT),BRENDAN Wallace,Cloud Tech_Texas,Check,"$4,750 ","$1,435 ",30.2%
31-05-2023,COSTCO WHOLESALE CORPORATION (XNAS:COST),     Conor Wise,Operations_Florida,Transfer,"$6,000 ",$998 ,16.6%
31-05-2023,MCDONALD'S CORPORATION (XNYS:MCD),Steven     MIChael,Big Data_California,Check,"$4,500 ",$780 ,17.3%
01-06-2023,EXXON MOBIL CORPORATION (XNYS:XOM),Lucia Mckay,Big Data_California,Card,,"$1,044 ",#DIV/0!
01-06-2023,VERIZON COMMUNICATIONS INC. (XNYS:VZ),JoSE   Roach,Big Data_California,Transfer,"$3,713 ","$1,222 ",32.9%
01-06-2023,"THE HOME DEPOT, INC. (XNYS:HD)",Franklin WRIGT,Big Data_California,Transfer,"$4,950 ","$1,065 ",21.5%
01-06-2023,"CISCO SYSTEMS, INC. (XNAS:CSCO)",   Alia       Thornton,Operations_Florida,Transfer,"$4,750 ",$810 ,17.1%
01-06-2023,CHEVRON CORPORATION (XNYS:CVX),Denzel        Flores,Operations_Florida,Transfer,"$7,320 ",$933 ,12.7%
31-05-2023,COSTCO WHOLESALE CORPORATION (XNAS:COST),     Conor Wise,Operations_Florida,Transfer,"$6,000 ",$998 ,16.6%
31-05-2023,MCDONALD'S CORPORATION (XNYS:MCD),Steven     MIChael,Big Data_California,Check,"$4,500 ",$780 ,17.3%
01-06-2023,AT&T INC. (XNYS:T),Bruno CordOVA,Big Data_California,Transfer,"$5,088 ",$655 ,12.9%
01-06-2023,INTEL CORPORATION (XNAS:INTC),jaylynn   napp,Big Data_California,Transfer,"$4,500 ",$722 ,16.0%
01-06-2023,GENERAL MOTORS COMPANY (XNYS:GM),Bruce RICH,Big Data_California,Card,"$4,250 ",$901 ,21.2%
02-06-2023,MICROSOFT CORPORATION (XNAS:MSFT),     Arturo Moore,Big Data_California,PayPal,"$5,250 ","$1,349 ",25.7%
02-06-2023,COMCAST CORPORATION (XNAS:CMCSA),Bryce     Carpenter,Strategy_New York,PayPal,"$6,500 ","$1,288 ",19.8%
02-06-2023,DELL TECHNOLOGIES INC. (XNYS:DELL),Jaidyn ANDERSEN,Strategy_New York,PayPal,"$7,500 ","$1,664 ",22.2%
02-06-2023,JOHNSON & JOHNSON (XNYS:JNJ),MARK WALM,Strategy_New York,Transfer,"$5,500 ","$1,320 ",24.0%
02-06-2023,FEDEX CORPORATION (XNYS:FDX),HARRY LEE,Strategy_New York,Transfer,"$4,625 ","$1,001 ",21.6%
02-06-2023,GENERAL ELECTRIC COMPANY (XNYS:GE),JOSH JOHNSON,Strategy_New York,Transfer,"$4,500 ",$960 ,21.3%
02-06-2023,LOCKHEED MARTIN CORPORATION (XNYS:LMT),Mik Naam,Strategy_New York,Card,"$5,400 ",$540 ,10.0%
30-05-2023,"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)",David    Rasmussen,Operations_Florida,Check,"$5,000 ",$684 ,13.7%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
